X_AXIS,Y_AXIS,Z_AXIS
-295.309118177224,14.426539299236035,-845.5962438935371
-304.5834039221899,50.44578676734225,-875.2856690705262
-292.09906391802093,110.54631169962113,-912.3447202401649
-290.8544586563452,199.43794121149423,-946.224801757956
-307.16707218246233,279.64939781190014,-982.2189250829538
-302.30366916298624,342.32652038899374,-964.797866345855
-307.06403538121486,390.2437345702251,-922.8036561751308
-307.1039711964565,400.6854914636289,-907.1892062646998
-309.39162105207225,365.8981301243976,-893.1105522316021
-287.9509526325834,354.59789430379857,-864.8924639649617
-297.5710565747839,335.9947682998948,-869.717946053598
-285.25402600285213,276.8011275997575,-879.2657579830435
-266.2060049919047,252.21649005587318,-901.4588229574016
-254.29135954018903,201.02114179666538,-889.4961940810912
-247.37613495840122,155.6007382809804,-873.9730891957354
-261.4829755284845,173.8819405893894,-886.7769905937819
-275.00123021635363,185.24810435441498,-889.9591187979696
-293.24781059919127,194.26274418824536,-884.6800284002802
-319.9307219871277,187.65689540118765,-885.5358210330259
-323.74966886895965,208.8499070546094,-898.9509320125705
-333.0630689058924,226.03439311967352,-905.1374380324175
-340.74932206865935,212.01233312953292,-881.4630307271906
-349.9911707407249,197.41075740668424,-862.5296056243291
-345.0782922983849,201.7555006248083,-866.6916814949711
-352.40550373030504,210.2729428605717,-879.9463455972036
-348.2221373911067,219.7153988579314,-895.0189500528124
-355.45289569169836,196.2258822306884,-904.81772057934
-352.42871077035113,232.98009949163736,-905.6545568347284
-347.2775199597216,264.89707097696464,-910.5077398793088
